abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
blasted	bekAra/ujadZA_huA/
blast	udZAna_Bara/wejI_se_nikala/XamAkA/bArUxa_se_udZA_xe/
blatant	jabaraxaswa/KulA/
blaze	camaka_uTA/lagAwAra_cala/BadZaka_uTA/lapata/p/xahaka_uTa/
blazing	wejaZ/wapwA_huA/
blazon	GoRiwa_kara/kulacihna/rAjyacihna/pramuKawA_se_praxarSiwa_ho/
bleak	nirASAjanaka/TaNdA/
bleed	xraviwa/PEla/KUna_baha/
blemish	xAga_lagA/KarAba_kara/kalaMkiwa_kara/
blend	mela_KA/mila_jA/milA/Ko/acCA_saMyojana/miSraNa/mila/
bless	ASIrvAxa/BAgyavAna/ASIrvAxa_xe/sampanna_ho/
blight	pAlA/kumhalA/
blind	aMXA_ho/vivekaSUnya/aMXA/anXA_kara/
blink	AKoM_meM_Ane_se_roka/timatimA/AScryacakiwa_ho/timatimAhata/Japaka/AzKa_JapakA/
blistering	wapwa/gamBIra/bahuwa_wejaZ/
blister	jala_jA/PunsI/katu_AlocanA_kara/CAlA/
blithe	niScinwa/hazsamuKa/
bloat	PUla/PulA/
blockade	nAkAbanxI/nAkAbaMxI_kara/
block	roka/ruka/bAXA_dAla/KaNda/banxa/
blonde	sunaharA/gore_SarIra_va_nIlI_AzKa_vAlI_swrI/
blond	sunaharA/gore_SarIra_va_nIlI_AzKa_vAlA_manuRya/
bloodless	rUKA/BAvahIna/pIlA/rakwahIna/
bloodthirsty	KUzKAra/KUna_kA_pyAsA/
bloody	bahuwa_hI/bilakula/lahUluhAna/
bloom	PUla/bahAra_para_A/
blossom	baxala_jA/svasWa_ho/bOra_A_jA/PUla_A_gaye/Kila/vikasiwa_kara/PUla/
blot	CipA_xe/BUla_jA/xAga/CIla/
blow	girA_xe/uda_jA/JAda_xe/udA/bajA/AGAwa/para_XyAna_mawa_xe/XamAke_se_udA/PulA/ladZAI_para_uwara/vivAxa_para_uwara/cala/udawA_huA/baha/PUzka_mAra/XamAke_se_uda_jA/BadZaka_jA/baDZA/dAztanA_yA_gusse_se_bAwa_kara/acAnaka_A/prahAra_kara/udZa_jA/buJA/binA_kisI_viSeRa_asara_se_Gata_jA/visPota_kara/ninxA_kara/pawA_cala/sAPa_kara/
blubber	hvela_maCalI_kI_carabI/ronA_-_bilaKa/
blue	Waka_nahIM_jAwe/uxAsa/aSlIla/paxaka/nIlA/nIlA_raMga/
bluff	XoKA/rUKA/JAzsA_xe/XamakI/
blunder	kuprabanXase_naRta_ho_jA/binA_soce_bola_pada/cUka/
blunt	spaRta/manxa_ho_jA/BoMWarA/kama_kara/
blurt	ekaxama_se_bola_xe/bola_xe/binA_soce-samaJe_bola/
blur	XabbA/XuMXalA/XuMXalA_kara_xe/
blushingly	lajjAse/lajjAraMjiwa_rUpa_se/
blush	lajjAraMjiwa/lAlimA/SaramA/
bluster	SeKIbAja/XamakA/
board	borda/deka/KAnepIne/maNdala/Bojana/waKwe_lagA/waKwA/caDa/
boast	dIMga/dIMga_mAra/garva_kara/
boat	nOkA-vihAra_kara/nAva/
bob	acAnaka_sawaha_para_xiKAyI_xe/Cote_ekasAra/kAPI_mahaMgA/Upara_nIce_kara/Cote_bAla_vAlI/Cote_bAla_raKane_kA_kisma/Upara_nIce_ho/
bodily	pUrI_waraha_se/SArIrika/saSarIra/bala_pUrvaka/
body	vaswu/SarIrika/majabuwI/ko/lASa/kalevara/milakara/samUha/nikAya/saMgraha/Sava/SarIra/viSeRa_prakAra_kA_SarIra_raKane_vAlA/piNda/
boggle	SaMkA/JiJaka/
bogus	JUTA/nakalI/
boil	Aga_babulA_ho/BadZaka/uPana/Ape_se_bAhara_ho/ubAlA/PodA/ubAla/ubala/
boisterous	uXamI/wejaZ/joZraxAra/XIMgAmaswI_se_BarA/kolAhalapUrNa/
bold	nirBIka/nidara/xabaMga/sAhasika/motA/svaCanxa/
bolster	masanaxa/sahArA_xe/
bombard	golA_barasA/bamabArI_kara/
bombast	lambI_cOdZI_bAwacIwa/lambI_cOdZI_bAwacIwa_kara/
bomb	bamabArI/bama/bama_girA/
bond	jodZa_kara/judZA_ho/riSwA/bAMda/
bonnet	SiSu_Ora_swriyoM_kI_wanIxAra_topI/motara/
bonny	acCA/sunxara/
book	liKa/puswaka/xarja_kara/buka_kara/
boomerang	bUmarEMga/viparIwa_A_padZa/
boom	XamAkA/garaja/
boon	anugraha/KuSamijZAjZa/varaxAna/
boost	baDZAvA/baDZAvA_xe/baDZa_jA/
boot	gAdZI_kI_diggI/lAwa_mAra/bUta/
booze	SarAba/jyAxA_SarAba_pI/
bop	pOpa_saMgIwa_para_nqwya/mukke_yA__lATI_se_mAra/
borderline	jo_niSciwa_rUpa_se_prAsaMgika_na_ho/sImAreKA/
border	sImA_para_ho/sImA/kinAre_para_ho/
bore	Cexa_kara/ubA/ubAne_vAlA/
born	janmajAwa/pExA_ho/
borrow	qNa_lenA/uXAra_le/
bosom	CAwI/mana_meM_raKa/
boss	boYsa/prabanXa_kara/mAlika/
bother	paravAha_kara/pareSAna_ho/pareSAna_kara/samaya_vyawIwa_kara/ciMwiwa_ho/jahamawa_uTA/pareSAnI/
both	xonoM/
bottle	roka/bowala/bowala_meM_banxa_kara/
bottom	ke_nicale_BAga/sabase_nIce/xUsare_Cora/meM_AMwima_sWAna/ke_pICe/aMwima_sWAna_para/aMwa_ho/walI/wala/nIce/sabase_nIce_vAlA/
bounce	uCala/vApasa_Beja_xe/kImawoM_meM_uCAla_A/CodZane_ke_liye_majabUra_kara/apane_vicAra_bawA/uCAla/
bouncy	uCalane_vAlA/uwsAha_se_BarA/
bound	CalAMga_mAra/bAzXa/vyaswa/najaxIkI_se_judZa_jA/judZa/hI/GirA_ho/baMXa/majabUra/Gera/bAXya/bazXA_huA/sImA/
bountiful	xayAlu/pracura/
bourgeois	maXyavargIya/rUDZIvAxI/xakiyAnUsI/
bowl	girA_xe/weja_raPwAra_meM_cala/katorA/geMxa_PeMka/
bow	sanyAsa_le/Juka/JukA/bo/gaja/gajZa/Jukakara/Jukakara_aBIvAxana_kara/XanuRa/XanuRAkAra/XnuRa/aBIvAxana/
box	telIvijana/mukkebAjI_kara/KAne/rAswA_banXa_kara/bAXiwa/dabbe_meM_banxa_kara/bUWa/mukkebAjI/baksA/bakse_meM_banxa_kara/
boycott	boYyakoYta/bahiRkAra_kara/
brace	bacAne_ke_liye_wEyArI_kara/wEyAra_kara/wAra/XanukoRTaka/xqDZa_kara/
bracket	koRTaka/koRTa_meM_banxa_kara/
brag	dIMga/dIMga_hAzka/
braid	PIwA/veNI/bata/
brake	avaroXana/rukAvata/roka/breka/breka_lagA/
branch	kI_SAKA_Kola/mudZa/alaga_ho/SAKA/viBAjiwa_ho/
brand	warIkA/mAna/CApa_lagA/xAga/lukATI/prakAra/CApa/cihna_banA/
brash	nAjuka/BadZakIlA/DITa/
brassy	karkaSa/behayA/pIwala_ke_rafga_kA/
brave	ASAoM_Bare/sAhasI_vyakwI/sAhasI/sAmanA_kara/
brawl	ladZAI/JagadZa/
bray	reMkanA/reMka/
breach	wodZa/ullaMGana/xarAra/xarAra_kara/
breadth	cOdZAI/viswAra/gaharAI/
breakneck	wejZa/anXAXunXa/
breakthrough	saPalawA/Bexane/
break	vixroha_kara/KarAba_ho_jA/jIwa_lenA_yA_tUta_jA/GusapETa_kara/jabaraxaswI_Gusa_jA/acAnaka_ruka/wodZa_kara_Kola/yakAyaka_ho/mohara_wodZa/samApwi/wodZa/tUta/sambanXa_samApwa_kara/tUta_PUta/aMxara_GUsa/BaMga_ho/uga/ho/praSikRaNa/wodZa_xe/BaMga_kara/acAnaka_ho/virAma/avakASa/
breastfeed	swanapAna_kara/swanapAna_karA/
breast	CAwI/sInA/hqxaya/swana/
breathless	hAzPawA_huA/swabXa/
breath	halkA_JoMkA/ABAsa/sAzsa/
breeding	nasla/SikRaNa/
breed	pExA_kara/prajanana_ke_liye_pAlana_poRaNa_kara/pAla/uccavaMSa/nasla/bacce_pExA_kara/
breezy	prasannaciwa/havAxAra/
brew	ubAla/umadZa/wEyAra_kara/maxya_banA/
bribe	riSvawa/riSvawa_xe/
bridal	xulhana/vivAha/
bridge	bAzsA/pula/milA/
bridle	lagAma/lagAma_xe/
brief	saMkRepa/saMkRipwa/kesa/alpakAlIna/sArapawra/sUciwa/hixAyawa_xe/
brighten	camaka_uTA/camakA/camaka/ujjavala_kara_xe/
bright	hoSiyAra/baDZiyA/camakIlA/ujjvala/xIpwa/praPulliwa/wejZa/
brilliant	bahuwa_baDiya/wejomaya/ujjavala/camakIlI/prawiBASAlI/
brim	Calaka_raha/kagAra/Bara_jA/BarI_ho/
bring	pawana_kA_kAraNa/prApwa_kara/pExA_kara/lA/smaraNa_xilA/girA/uwpanna_kara/praswuwa_kara/pUrA_kara/prAramBa_kara/bawA/nikAla/le_A/hoSa_me_lA/sAWa_meM_lA/pAlana_poRaNa_kara/bAhara_lAna/lagA/xe/lAyA_jA/
brisk	weja/viSvAsapUrNa/wejZa_kara/
bristle	BarA_huA/Bara_xe/sUara_kA_bAla/sIXA_KadZA_ho/
broach	upasWApiwa_kara/carcA_kara/
broadcast	sabako_bawA/prasAriwa/prasAraNa/prasAriwa_kara/
broadly	viswAra_se/mote_wOra_para/
broad	muKya/Bare/viswqwa/cOdZA/vyApaka/
broil	seMka/Soragula/garma_kara/
brook	CotI_naxI/saha/
browbeat	XamakAyA_huA/XamakA/
brown	BUrA_hone_waka_BUna/Uba_cuke/sAvazlA/BUna_le/BUrA/BUrA_ho/
browse	nigAheM_xOdZA/pqRTa_palata/xeKa/cara/sAmAna_xeKa/
brow	cotI/BOMha/mAWA/
bruise	KaroMca/cota_laga/cota/
brush	XyAna_na_xe/hatA_xe/eka_ora_Xakela_xe/bruSa_se_hatA/nikAla_xe/punaH_aByAsa_kara/buruSa/JAda/JagadA/
brutal	kaTora/kadZavI/kaTina/wejZa/nirmama/
bubble	uPAna_A/PavvArA/jalxa_hI_bahuwa_lokaprIya_ho/bulabule_uTa/KaxabaxA/Bara/asAra/bulabulA/
buckle	wEyAra_raha/gaMBIrawA_se_kArya_SurU_kara/bakasue_se_baMXa/modZa_xe/tUta/bakalasa_lagA/
buck	jalxI_kara/KuSa_kara/suXAra_kara/viroXa_kara/hiraNa/acAnaka_Upara_nIce_ho/
budge	saraka_jA/hila/hilA/
bud	kalI/kalI_PUta/
buffet	Wappada/buPe/XakkA_mukkI_kara/
buff	camakA/bAxAmI/camadZA/
bugger	iXara_uXara_ke_kAma/samaya_gavAz/
bug	galawI/wafga_kara/saMkramiwa_bImArI/kIdA/kI_CAnabIna_kara/
build	kATI/imArawa/nirmANa_kara/nirmANa/banA/bana/
bulb	kaMxa/balba/
bulge	uBAra/uBara/
bulk	aXikAMSa_hissA/badZA_kara/bahuwa_mahawvapUrNa_ho/baDZA_le/vqhaxAkAra/Woka/xiKa/
bulky	BArI/badZA/
bully	XOMsa_xiKAnevAlA/XOMsa_xiKAnevAlA_manuRya/XamakA/
bump	acAnaka_mila_jA/mAra/mAra_dAla/uBAra/
bunch	gulaxaswA/JuMzda/ekawra_ho/ekawra_kara/gucCA/
bungle	PUhadZapane_se_kara/GapalA_kara/
buoyant	praPulliwa/uwplAvana/mUlyoM_kA_baDZAva/
buoy	uwsAhiwa/baDZA_xe/warerI/wErawA_huA_raKa/
burdensome	kaRtamaya/kaTina/BAra/
burden	boJa/lAxa/
burlesque	kAratUna/parihAsya/parihAsa/parihAsa_kara/
burning	jalA_huA/prabala/aXika/jalAnA/jalawA_huA/
burnish	camaka/camakA/
burn	xAhaka/jalA_xe/BadZakA/jalA_kara_Cexa_kara_xe/jala_kara_pUrI_waraha_se_naRta_ho/jalA/wapanA/jalane_kA_GAva/jala/
burrow	Gusa_jA/para_raKa/ko_KaMgolA/ko_KaMgola/bila/Koxa/
burst	PodZa/bAhara_baha_jA/acAnaka_A_jA/KacAKaca_Bara/KacAKaca/acAnaka_aMxara_A_GusA/acAnaka_PUta_PUta_kar_ro_padZa/acAnaka_jala_uTA/acAnaka_xiKAyI_xe/acAnaka_cillAyA/tUta_jA/paripUrNa_ho/bArOxa_kI_bOCAra/PUta/acAnaka_Kula_jA/PUta_nikala/tukadZA/Pata/IjAxa_hone_kA_praBAva_padZa/xarAra/
bury	anxeKA/ApasI_manamutAva_mitA/xaPana_kara/xaba/CipA/GusA/pUrI_warah_se_dubA_le/gAdZa/xaba_jA/xaPanA/
bush	jafgala/JAdZI/
bust	kI_arXqprawimA/pakadZA/alaga_ho_jA/barbAxa_kara_xe/KarAba/CAwI/wodZa_xe/xivAliyA_ho/
butcher	kasAI/nirxayawA_se_vaXa_kara/
butter	maskA_mAra/makKana_lagA/makKana/
button	billA/ekaxama_sahI_samaya/batana_se_baMXa/batana_banxa_kara/batana/batana_lagA/
buttress	sahArA/teka/puSta_kara/sixXa_kara/majZabUwI/majZabUwa_kara/
butt	haswakRepa_karnA_banxa_kara/rukAvata_dAla/kuMxA/sira_se_takkara_mAra/
but	paraMwu_muJe_nahIM/jabaki/ke_bAvajUxa/kevala/paranwu/ke_awirikwa/paraMwu/
buy	KarIxakara_mAla_ikatTA_kara/Pira_se_KarIxa/KarIxa_le/KarIxa_dAla/KarIxanA/KarIxa/viSvAsa/
buzz	lahara/GaMtI_bajA/BAga/xUra_cale_jAo/carcA/Pona/BanaBanAhata/BanaBanA/
by	isake_viparIwa/kawarA/ke_kAraNa/ka/waka/kI/se/pAsa_se/pAsa_meM/ke_xvArA/guNA/ke_hisAba_se/ke_anusAra/samIpa/meM/se_hokara/ke_pAsa/para/
cabinet	maMwrImaMdala/alamArI/
cable	kebala/wAra_xvArA_samAcAra_Beja/
cage	pinjare_me_banxa_kara/pinjarA/
calculate	mawalabI/racanA_karA/hisAba_lagA/AMkalana/jAzca_kara/gaNanA_kara/gaNanA/
callous	saMvexanAhIna/kaTora/berUKI/
call	GaMtI_kI/mazgavA/mAzga_kara/AvaSyakawA_ho/jarUrawa_ho/sahAyawA_ke_lie_bulA/bulA/vApasa_le/vApasa_bulA/raxxa_kara/sazBAla/banxa_kara/milane_Gara_jA/xe/jutA/yAxa_kara/telIPona_kara/mAluma_kara/jAwe-jAwe_mila/pukAra/xiKA/uwpanna_kara/gAlI_xe/jora_jora_se_pukAra/AmaMwriwa_kara/nimaMwriwa_kara/vApasa_teliPona_kara/anwarpreraNA/BeMta_karane_ke_lie_bulA/SOcAxi_kI_AvaSyakawA/AvAhana/nirNaya/ruka/ho/nAma_xe/kaha/teliPona_kara/vyavasAya/kahalA/PZona/nAmaka/bulAvA/milane_bulA/
calm	SAMwa_kara/SAMwa_ho/SAnwa/SAnwi/SAnwa_kara/
camouflage	CaxmAvaraNa/CaxamAvaraNa_kara/
campaign	aBiyAna_calA/aBiyAna/
camper	kEmpara/kEMpa_karane_vAlA/
camp	guta/Sivira/padZAva_dAla/samaliMgI/awiSayokwipUrNa/
canal	nahara/nalikA/
cancel	raxxa_kara/
cane	kena/CadZI/beMwa_mAra/beMwa/
canker	nAsUra/sadZa_jA/sadZA_xe/
canton	paraganA/paraganoM_meM_viBAjiwa_kara/prAnwa/
cant	gaMvAra/banAkara_bolI_bAwa/ultA_GumA/
can	kEna/kara_saka/saka/
capable	yogya/samarWa/
caper	SarArawa/kUxa/
cape	aMwarIpa/binA_bAzha_kA_labAxA/
capitalist	pUzjIvAxa_para_AXAriwa/pUzjIpawi/
capital	pUzjI/rAjaXAnI/baDZe_akRara/kEpitalsa/
captain	kapwAna/newqwva_kara/
captive	kExa_kiyA_huA/kExI/
capture	pakada/kExa/aXIna/kabjA/moha/
cap	Dakkana/KilAdzI/uccawama_sImA/cuna/DakA_ho/uccawama_sImA_niSciwa/topI/Dakkana_lagA/
cardinal	buniyAxI/muKya/
card	kArdZa/wASa/
career	kEriyara/jIvikA/sarapata_jA/wejI_se_A/wejI_se_jA/
careful	sAvaXAna/cOkasa/KUba/
careless	beparavAhI/asAvaXAna/beparavAha/
care	xeKaBAla_kara/cAha/cinwA/XyAna/xeKaBAla/paravAha_kara/
caricature	hAsya_ciwra/hAsya_ciwra_banA/
carmine	lAla_raMga/
carol	Ananxa_kA_gIwa/praSaMsAgAna_kara/
carpet	kAlIna/kAlIna_biCA/
carp	wAlAba_kI_badZI_maCalI/CotI_wucCa_bAwoM_kI_SikAyawa_kara/
carry	aMwa_waka_niBA/ApA_Ko_xe/jodZa/saPala_ho/jArI_raKa/burA_vyavahAra_kara/bahasa_kara/calA/kara/saPalawApUrvaka_bAhara_nikAla/pUrA_kara/smaraNa_kara/Age_le_jA/jIwa/Age_baDZA/pUrNa_kara/kaTina_samaya_meM_kisI_kI_sahAyawA_kara/le_jA/bahA/uTA/uTA_le_jA/baMxUka_kI_sImA/
cart	aBaxrawApUrvaka_le_jA/sAmAna_nikAla/le_jA/gAdZI/
carve	prApwa_kara/bAzta/tukadZoM_meM_kAta/Koxakara_mUrwi_banA/nakkASI_kara/warASa/nakkASI/banA/ukera/
case	pecIxA_viRaya/dibbA/uxAharaNa/AxamI/petI/kAraka/sWiwi/prakaraNa/viSeRa_sWiwi/mukaxamA/mAmalA/
cashier	rokadZiyA/paxacyuwa_kara/
cash	pEse_meM_parivarwiwa_kara/lABa_uTA/rokadZa/rokadZa_meM_baxala/nakaxI_gina/hisAba_mila/
casket	SqMgAraxAna/SavapetikA/
cast	sAxace_meM_DalI_vaswU/CodZa_xe/uwAra/nAva_Kola_xe/Pazxe_dAla/anacAhI_bAwoM_ko_uTA/wyAga/Peka_xe/nAtaka_ke_pAwra/dAla/plAstara/prakAra_kA/DAla/BUmikA_xe/cinwiwa_hokara_Koja/bahiRkqwa_kara/
catalogue	nAmAvalI/sUcIpawra_banA/SrqMKalA/
catch	viKyAwa_ho/samaJa/pakadZa/pAsa_pahuzca_jA/pUrA_kara/laga/pakada/A/xeKa/Gira_kara/Pazsa/
catchy	AkarRaka/pecIxA/
cat	vyAGrAxi/billI/
cause	kAraNa_bana/pExA_kara/uxxeSya/kAraNa/kara/
caustic	kRAraka/katu/
caution	cewAvanI/sAvaXAna_kara/
cautious	sAvaXAna/sawarka/
cave	anxara_kI_ora_gira/guPA_Koxa/guPA/hAra_mAna/gira/
celebrate	manA/uwsava_manA/
cell	kakRa/KAnA/kamarA/koTarI/koSikA/
cement	simeMta/jodZa/majabUwa_kara/
censor	nirIkRaka/kAta_CAzta_kara/
censure	niMxA/niMxA_kara/
centenary	SawAbxI/SawavarRIya/
central	maXyavarwI/najaxIka/pramuKa/keMxrIya/
cent	sEnta/
century	Sawaka/SawAbxI/
ceremony	samAroha/SiRtAcAra/
certain	KAsa/kuCa/niSciwa/niSciwa_rUpa_se/
certainty	niSciwa/niSciwawA/
certificate	pramANiwa_kiyA_huA/pramANapawra/
chafe	ragadZa/ragadZakara_CIla_jA/ragadZakara_CIla_xe/KIja/kroXiwa_kara/
chaff	CilakA/hazsI_meM_KijA/
chagrin	JuMJalAhata/kuDZA/
chain	SrqMKalA/sikadZI_bAzXa/jaMjZIra_se_bAzXa/se_bazXa/mAlA/jaMjIra/kadI/ladI/
chair	kursI/saMcAlana_kara/aXyakRa/prAXyApaka/
chalk	xarja_kara/mawWe_maDZa/liKa/KadZiyA_se_liKa/rUpareKA_praswuwa_kara/KadZiyA/cihna_lagA/kAraNa_samaJa/
challenge	cunOwI/cunOwI_xe/
champion	uwsAhI_samarWaka/vijewA/uwsAha_se_samarWana_kara/
chance	acAnaka_mila_jA/avasara/saMyoga_bana/mOkA/joKima_uTA/saMBAvanA/Akasmika/
change	baxalAva/baxala_jA/baxala/pahana/baxala_kara_pahana/kapadZe_baxala/laMgota_baxala/axalA_baxala_kara/Pira_se_baxala/Pira_se_pahana/meM_lA/meM_wabaxIla_kara/CuttA_pEsA/SeRa_pEse/awirikwa_jodZa/parivarwana/Kule_pEse/parivarwiwa_ho/Cutte_pEse/
channel	Ayojana_kara/cEnala/mAXyama/nahara/
chant	Bajana/japa_kara/nArA/xoharA/maMwra/
chaperon	cOkasI_karanevAlI_swrI/cOkasI_kara/
chap	ladZakA/Pata/
characteristic	viSeRa/viSiRta_lakRaNa/vESiRtya/
character	sWiwi/yogyAwA/cariwra/aBilakRaNa/akRara/pAwra/svaBAva/aMka/prakqwi/
charge	joSa_jaga/AveSiwa/aBiyoga/mUlya/Aropa_lagA/Aropa/jimmexArI/bArUxa/XAvA/kAma/Karca_meM_liKanA/kImawa_le/kA_Aropa_lagA/AkramaNa_kara/wejI_se_cala_rahe_We/wejI_se_calakar/cArja_kara/AxeSa_xe/AveSa/
charming	AkarRaka/manamohaka/suhAvanI/
charm	AkarRaNa/mohiwa_kara/mohiwa_ho/mohiwa_kara_pAnA/AkarRaka/gaNTA/
charter	GoRaNA_pawra/kirAye_para_le/sWApanA_ho/
chase	BagA_xe/pICA_kara/saMparka_kara/SikAra_karane/pAne_kI_koSiSa/
chasm	xarAra/mawaBexa/
chattel	cala-sampawwi/gulAma/
chatter	bakabaka/bakabaka_kara/katakatA/cahaka/
chat	bAwacIwa_kara/gapaSapa/gapaSapa_kara/
cheap	saswA/GatiyA/
cheat	Taga/beImAnI_kara/nAjAyaja_saMbaMXa_raKa/nakala_kara/vanciwa_kara/XoKA/
checked	bila_Barakara_jagaha_KAlI_kara/jAzcA_huA/cAraKAne_vAlA/
check	bila_Barakara_jagaha_KAlI_kara/jAzcA_huA/roka/jAzca/cAraKAne_vAlA/pahuzcanA/haswAkRara_kara/kamarA_ArakRiwa_kara/le_le/bila_cukAkara_hotala_CodZa/jAzca_kara/nAma_xarja_kara/sahI_kA_cihna_lagA/parIkRaNa/sawya_kI_jAzca_kara/acAnaka_roka/niyaMwriwa_kara/
cheek	gAla/Gulamilakara/
cheerful	AnaMxiwa/sPUrwilA/ujjvala/
cheer	jaya_jayakAra_karake_prowsAhiwa_kara/prowsAhiwa_kara/prsanna_kara/prsanna_ho/KuSanumA_banA/jayajayakAr/
chemical	rasAyanika/rasAyanika_xravya/
chestnut	BUrA/SAhabalUwa/
chest	saMxUka/CAwI/
chew	socanA_yA_bAwa_kara/cabA/
chicken	kAyarawAvaSa_kisI_kAma_ko_na_kara_pA/murgI/
chief	muKya/muKiyA/
childhood	bacapana/bacapana_kA/
chilly	rUKA/uwsAha_hIna/TaMdA/
chime	rukAvata_dAla/JaMkAra/baja/ke_anukUla_hE/GaMtI/
chink	xarAra/KanakA/kamajora_muxxA/
chip	xaKalaMxAjZI_kara/tukadA/tukadoM_tukadoM_meM_nikala/kone_se_woda_xe/cipsa/kone_se_tUta/
chisel	CenI_se_kAta/lUta_le/kAtakara/CenI/warASa/
chit	parcI/CotI_ladakI/
choice	cayana/pasanxa/baDiyA/sAvaXAnIpUrvaka_cuna_ho/vikalpa/
choke	sAMsa_ruka/jAma_ho/coka/
choose	meM_se/cuna/
chop	kAta/AGAwa/bAZta/tukadZe_kAta/
chore	kAma/ubAU_kAma/
chortle	hazsa/KuSI_se_hazsa/XImI_hazsI_kI_AvAja/
chronicle	kAlakrama_se_aBileKana_kara/kAlakrama_se_aBileKana/vqwwAMwa/iwihAsa/iwihAsa_meM_liKa/
chuckle	muskurA/xabI_huI_hazsI/ruka_ke_hazsa/
chuck	CodZa_xe/nikAla_xenA/PeMka_xe/
chum	xoswI_karanA_yA_xoswa_banA/sAWI/
chunk	kAPI_mAwrA_meM/hissA/tukadA/
chunky	wagadA/gaTIlA/motA/
churn	banA/maWa/GUma/makKana_nikAla/maWane_kI_nAxa/wejI_se_GUmA/
cipher	SUnya/gupwa_liKAvata_kI_kuFjI/
circle	maNdalI/maMdalI_yA_samuxAya/maMdalI/GerA/vqwwa/vqwwAkAra/golA_banA/cakkara_lagA/
circular	vqwwIya/sarkyulara/
circulation	saMcAra/pracalana/
cite	pramANa_xe/ulleKa_kara/walaba_kara/
civilization	saByawA/samAja/
civil	SiRta/nAgarika/
clad	AcCAxiwa_karanA/DakA_huA/
claim	muAvajZe_kI_mAMga/ke_pAwra_ho/mqwyu_kA_kAraNa_bana/xAvA/xAvA_kara/
clamor	Sora/kolAhala/
clamour	kolAhala/kolAhala_kara/
clamp	kisI_kriyA_ko_roka/kIlaka/jZora_se_pakadZa/roka/
clam	akasmAwa_cupa_ho_jA/cuppI_raKa/eka_prakAra_kA_GoMGA/
clap	wAlI/wAlI_bajA/
clash	viroXa/eka_hI_samaya_para/mela_KA/takarA/takarAva/
clasp	bakasuA/majabUwI_se_pakadZa/
classes	pATa/class/SreNI/kakRA/
classically	pAramparika/prawiRTiwa/
classical	SAswrIya/acCA/prAcIna-uwkqRta/
classic	uwkqRta/prAcIna_sAhiwya/
classify	vargIkqwa/vargIkqwa_kara/
class	kakRA/varga/acCA/SreNI/jAwi/vargIkqwa_kara/
clatter	KadZaKadZAhata/KadZaKadZa_kI_AvAjZa_kara/
claw	paMjA/paMjA_mAra/
clean	saPAI/pEsA_milanA_yA_le/badZA_munAPA_ho/sAPa_kara/ganxagI_nikAla/corI_kara/svacCa_ho/svacCa/
clear	nikAsI/cale_jA/KAlI_kara/sAPa_kara/svasWa_ho/svacCa_kara/hatA_le/BAga_jA/bAhara_nikAla/sulaJA/sAPa/spaRta/
cleaved	cipake_hue_raha/cIrawe_hue_nikala_jA/kAta_xe/
cleave	cipaka_jA/vaPAxAra_raha/xviKaMdiwa_kara/
cleft	vixara/vixIrNa/
clever	cawurAI/cawura/nipuNa/
click	klika_kara/cala/KataKata_kI_AvAjZa/klika_ho/
cliff	tIlA/catZtAna/
climax	SiKara/caramAvasWA/
climb	nIce_kI_ora_jA/hAra_svIkAra_kara/uwara/caDZa/caDa_kara_bAhara_Ana/caDZAI/
cling	SarIra_se_cipakA_huA/kasakara_lipata_jA/
clinical	BAvAvega_binA/asajjiwa/cikiwsakIya/
clink	tana-tana_kI_AvAjZa/tana-tana_AvAjZa_kara/
clip	kawara_dAla/prahAra/CaztAI/klipa/jodZa/
cloak	labAxA/AcCAxiwa/AdaZ/DakA_ho/
clobber	kapadZe-lawwe_iwyAxi/burI_waraha_pIta/
clock	Ane_yA_jAne_ke_samaya_kA_leKA_raKa/GadZI/samaya_lagA/xeKa/mAra/
clockwise	GadZI_kI_suI_kI_xiSA/GadZI_kI_suI_kI_xiSA_meM/
clog	lakadZI_ke_cappala/roka/
cloister	ekAnwavAsI/ekAnwasWala/
clone	hUbahU/hUbahU_banA/
clonk	Xvani/Xvani_kara/
closed	banXA_huA/saMkIrNa/sImiwa/banxa/
closely	milakara/XyAnapUrvaka/bArIkI_se/
closet	kamarA/ekAMwa_meM_raha/banxa_raKa/gupwa/gopanIya/alamArI/kisI_kArya_meM_magna_ho/
close	baMxa_ho_jA/pAsa_A/Cote_ho/baMxa_kara_le/ikatTA_ho_jA/AliMgana_kara/samApwa_kara/CotA_ho/banxa_kara/Amane_sAmane_ho/banxa_huA/nikata/pAsa/baMxa_ho/baMxa_kara/samApwa_ho/kama_kara/kama_ho/ke_karIbI/
clothe	vaswra/kapadZA/s/pahanA_huA/
cloud	XuzXalA_kara/XuzXalA_ho/bAxala_CA/majA_kirakirA_kara/Bara/bAxala/
clout	Sakwi/AXikAra/joda/GUzsA/GUzsA_mAra/
clown	jokara/mUrKawApUrNa_vyavahAra_kara/
club	ikatTe_hokara_pEse_jodZa/cidZI/klaba/daNde_se_mAra/
cluck	kudZakudZAnA/kudZakudZAne_kI_AvAjZa_kara/
clue	sUwra/pawA/surAga/jAnakArI_xe/jAnakAra/
clump	ikatTA_ho/gucCA/Wapa_Wapa_karake_cala/
cluster	gucCA/BIdZa_lagA/
clutch	klaca/caMgula/paMjA/pakadZa/
clutter	avyavasWiwa/aswa-vyaswa_kara/
