ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
ku Klux Klan	xakRiNI_@U.@S.@A._kA_eka_kAle_AxamiyoM_kA_viroXa_karawA_huA_gupwa_saMgaTana
leave not due	pariNawa-CuttI
land records	BU-aBileKa
land reforms officer	BUmi-suXAra_aXikArI
land revenue	BU-rAjasva
landed property	BUmi-sampawwi
lay off	asWAI[CaztanI]
leave account	Akasmika-CuttI
leave on average pay	prawipUraka-CuttI
leave preparatory to retirement	parivarwiwa-CuttI
ledger folio number	KAwA_pa_a@ZnA_saMKyA
ledger folio	KAwA-pannA
left over	avaSeRa[jUTana]
legally binding	viXiwa:bAXya
legally obligatory	viXiwa:anivArya
legally required reserves	viXiwa:apekRiwa_prArakRiwa_niXiyAz
letter of acceptance	svIkqwi-pawra
letter of advice	sUcanA-pawra
letter of credit	sAKa-pawra
letter of introduction	paricaya-pawra
life class	jIviwa[sajIva_kakRA]
life expectancy	jIvana-samBAvanA
life insurance	jIvana-bImA
liquid resources	nakaxI_@Lwrowa
litmus test	parIkRA{saccAI_kI}



little above	WodZA_Upara
little auk	CotA_OYka
little away	WodZI_xUra
little barley	CotA_jO
little brother	CotA_BAI
little by little	WodZA_WodZA_kara_ke
little clubmoss	CotA_lAikopodiyama_pAxapa
little dictionary	saMkRipwa_SabxakoSa
little egret	CotA_bagulA
little endion	CotA_aMwiya
little favorite	nanhA_priya
little fellow	nanhA_AxamI
little indian	laGu_iMdiyana
little person	nanhA_vyakwi
live account	jIvaMwa_KAwA
live body	jIviwa_SarIra
live color	sajIva_raMga
live data	sajIva_AMkadZA
live matter	wEyAra_sAmagrI
live or current account	sakriya_yA_cAlU_leKA
live order register	cAlU_rajistara
live stock development adviser	paSuXana_vikAsa_salAhakAra
live stock officer	paSuXana_aXikArI
live stock rearing	paSupAlana
live stock research station	paSuXana_anusaMXAna_kenxra
live stock	paSuXana
live variable	sajIva_parivarwI
liver chestnut	lAlimA_yukwa_BUrA_cestanata
liver disease	piwwASaya_kA_roga
livery allowance	varxI_BawwwA
living arrangement	rahane_kI_vyavasWA
living cost	nirvAha_Karca
living expense	nirvAha_KZarca
living quarters	AvAsikAez
living room	kamarA
living thing	jIviwa_vaswu
living wage	vewana
llc sublayer	elaelasI_upaswara
load balancing	BAra_saMwulana
load factor	BAra_kAraka
load limit	laxAna_sImA
load module	BAra_mAdyUla
load segment	BAra_KaMda
load sharing	BAraBAgI
loading area	laxAna_kRewra
loading assistant	laxAna_sahAyaka
loading certificate	laxAna_pramANa_pawra
loading charges	laxAna_praBAra
loading error	BAraNa_wruti
loading moharrir	laxAna_moharrira
loading routine	BAraNa_nemakA
loan accommodation	qNa_kA_niBAva_aahAyawA
loan advances section	karja_waWA_uXAra_anuBAga
loan advertisement	qNa_vijFApana
loan against government securities	sarakArI_prawiBUwiyoM_para_qNa
loan agreement	qNa_anubaMXa_aarAra
loan application	qNa_nivexana_pawra
loan approval	qNa_anumoxana
loan at call	mAMga_para_xeya_qNa
loan at short notice	alpa_sUcanA_para_xeya_qNa
loan balance	qNa_SeRa
loan call	mAMga_qNa
loan circular	qNa_paripawra
loan collection	qNa_saMgraha
loan company	qNa_kaMpanI
loan credited to revenue	rAjasva_leKe_meM_jamA_qNa
loan documents	qNa_praleKa
loan inspector	karjZa_nirIkRaka
loan instalment	qNa_kI_kiswa
loan notification	qNa_aXisUcanA
loan on mortgage	baMXaka_para_qNa
loan on policy	pAlisI_para_qNa
loan on securities	prawiBUwiyoM_para_qNa
loan operations	qNa_kriyAeM
loan portfolio	qNa_saMviBAga
loan sales	karja_bikrI
loan section	karja_anuBAga
loanable resources	qNa_yogya_vwwiIya_sAXana
loaning department	praxAwA_viBAga
loans against fixed deposit	sAvaXi_jamA_para_qNa
loans against miscellaneous shares	viviXa_SeyaroM_para_qNa
loans and advances	karje_Ora_uXAra
loans by partners	BAgIxAroM_MAJIxAroM_xvArA_karja
loans ledger	karjaKAwA
loans on mortgage	banXaka_karja
loans on tap	Kule_qNa
loans statistics	qNa_saMbaMXI_AMkadZe
loaves and fishes	sAMsArika_lABa
lobby clerk	lAEYbI_klarka
lobster butter	lOYbstara_nihiwa_makKana
local access	sWAnIya_aBigama
local advisory board	sWAnIya_salAhakAra_maMdala_aorda
local area network	sWAnIya_kRewra_jAlakrama
local audit co ordination and report section	sWAnIya_leKAparIkRA_samanvaya_waWA_riporta_anuBAga
local audit	sWAnIya_leKAparIkRA
local auditor	sWAnIya_leKAparIkRaka
local authority	sWAnIya_aXikArI
local bills discounted	BunAye_gaye_sWAnIya_bila
local bills purchased	KarIxe_gaye_sWAnIya_bila
local board secretary	sWAnIya_borda_kA_saciva
local board	sWAnIya_borda_aaMdala
local bodies	sWAnIya_nikAya
local body	sWAnIya_nikAya
local bus	sWAnIya_basa
local call	sWAnIya_kAla
local cartage	sWAnIya_DulAWa
local co ordination committee	sWAnIya_samanvaya_samiwi
local colour	sWAnIya_raMga
local credit	sWAnIya_qNa_aXAra
local definition	sWAnIya_pariBARA
local delivery	sWAnIya_dilIvarI
local descriptor table	sWAnIya_vivaraNaka_sAraNI
local director	sWAnIya_nixeSaka
local distribution	sWAnIya_viwaraNa
local exchange	sWAnIya_jAlakrama
local fund accounts examiner	sWAnIya_niXi_leKA_parIkRaka
local fund works	sWAnIya_niXi_nirmANa_kArya
local fund	sWAnIya_niXi
local funds	sWAnIya_niXiyAM
local government employee	sWAniya_sarakAra_kA_karmacArI
local government	sWAnIya_SAsana
local inspection	sWAnIya_nirIkRaNa
local line	sWAnIya_lAina
local loan works	sWAnIya_karje_nirmANa_kArya
local loop	sWAnIya_lUpa
local memory	sWAnIya_smqwi
local mode	sWAnIya_viXA
local office recommendations	sWAnIya_kAryAlaya_kI_saMswuwiyAM_MiPZAriSeM
local official gazette	sWAnIya_sarakArI_IAsakIya_gajZata_aAjapawra
local purchase	sWAnIya_KarIxa_araya
local rate	sWAnIya_xara
local recruitment	sWAnIya_BarwIr
local remittances in transit	mArgasWa_sWAnIya_preRapra
local remittances	sWAnIya_preRapra
local self government	sWAnIya_svaSAsana
local self governmet	sWAnIya_svaSAsana
local service area	sWAnIya_sevA_kRewra
local service	sWAnIya_sevA
local staff government	sWAnIya_svAyaww_SAsana
local stock	sWAnIya_stOYka
local switching facility	sWAnIya_svicana_suviXA
local talk	sWAnIya_vArwA
local tariff	sWAnIya_Sulka_sUcI_IEriPa
local tender	sWAnIya_nivixA
local time	sWAnIya_samaya
local traffic	sWAnIya_yAwAyAwa
local treasury	sWAnIya_rAjakoRa_KajZAnA
local variables	sWAnIya_cara
localisation of industries	uxyogoM_kA_sWAnIyakaraNa
locally administered address	sWAnika_prabanXiwa_pawA
locally attached station	sWAna_baxya_kenxra
location policy	sWAna_nirXAraNa_nIwi
locator variable	sWAna_niXArraka_cara
lock byte	pASa_bAita
lock chamber	wAlA_kakRa
lock out	wAlAbaMxI
lock smith	wAlasAja
lock up table	uxreXa_sAraNI
lock up	jela[<wAlA`]
lock variables	pASa_cara
locked files	pASiwa_saMcikA
locked page	wAlakiwa_pqRTa
locked pages	pASiwa_pqRTa
locked record	wAlakiwa_aBileKa
locker facility	lAEYkara_suviXA
locker room	lAEYkara_kakRa
locking up of capital	pUMjI_roXa
loco cleaner	loko_klInara
loco disease	unmawwa_roga
loco gunner	loko_ganara
loco inspector	loko_nirIkRaka
loco pressure boiler operator	loko_xAba_bOYyalara_pracAlaka
loco storekeeper	loko_BaMdArI
loco training school	loko_praSikRaNa_vAxyAlaya
locomotive engine	rela_iMjana
locus standi	vEXa_sWiwi
locust bean	kErova_PalI
locust warning officer	tiddI_cewAvanI_aXikArI
lodging allowance	nivAsa_BawwA
lodging chain	yAwrI_Bavana_SrqMKalA
lodging house	vAsa_gqha
loft bombing	havAI-bamabArI
log book	lOYga_buka
log cabin	JoMpadA{wanYoM_se_banA}
log jam	kArya_meM_pragawi_na_ho_pAnA
log on	sawrAraMBa
logic analyzer	warka_viSleRika
logic design	warka_aBikalpanA
logic diagram	warka_AreKa
logic element	warka_wawva
logic function	warka_Palana
logic shift	warka_saMgawa_visWApana
logic state	warka_sWiwi
logic unit	warka_ekaka
logical action	wArkika_kArravAWa
logical add	warkasaMgawa_yoga
logical analysis	warka_viSleeRaNa
logical argument	wArkika_vivAxa
logical byte address	wArkika_bAita_pawA
logical comparison	warka_saMgawa_wulanA
logical connection	wArkika_saMyojana
logical connective	wArkika_saMyojI
logical constant	warka_saMgawa_acara
logical data structure	warkasaMgawa_AkEYMdZA_saMracanA
logical design	warkasaMgawa_aBikalpanA
logical diagram	warkasaMgawa_AreKa
logical end	wArkika_pariprawi
logical expression	warkasaMgawa_vyaMjaka
logical file system	wArkika_saMcikA_waMwra
logical if	warkasaMgawa_yaxi
logical multiply	warkasaMgawa_guNA
logical operation	warkasaMgawa_saMkriyA
logical operator	warkasaMgawa_saMkAraka
logical page number	wArkika_pqRTa_saMKyA
logical record block	warkasaMgawa_aBileKa_KaMda
logical record	warkasaMgawa_aBileKa
logical relation	warkasaMgawa_saMbaMXa
logical shift	visWApana
logical structure	warkasaMgawa_saMracanA
logical switch	warkasaMgawa_svica
logical symbol	warkasaMgawa_prawIka
logical unit	wArkika_yUnita
logical variable	warkasaMgawa_cara
london account current section	laMxana_cAlU_leKA_anuBAga
long ago	bahuwa_pahale
long bills book	xIxarkAlika_bila_auMdI_bahI
long bills	xIxarkAlIna_huMdiyAM_Mila
long bone	lambI_haddI
long division	xIrGa_BAjana
long drawn out	bahuwa_samaya_lenevAlA
long haul	xUrasWa_yAwrA
long jump	lambI_kUxa
long lasting	bahuwa_samaya_waka_Taharane_vAlA
long live	xIrGAyu_ho
long long ago	bahuwa_pahale
long lost	bahuwa_samaya_pahale_kI
long odds	bahuwa_kama_samBAvanA
long past	suxUra_awIwa
long price	saSulka_kImawa
long range	lambI^xUrI[-]
long rangest	lambI^xUrI_{wama}
long running	bahuwa_samaya_waka_calane_vAlA
long serving	bahuwa_samaya_se_kAma_karane_vAlA
long settled	bahuwa_samaya_se_waya
long shot	joKima_BarA_uxyama
long since	bahuwa_pahale_se
long stay	lambe_samaya_waka_rahanA
long suffering	lambe_samaya_se_saMkata_Jelane_vAlA
long term borrowing	xIrGakAlika_uXAra
long term capital	xIrGakAlika_pUMjI
long term loan	xIxarkAlika_karje
long term operations national agricultural credit fund	xIxarkAlIna_pravarwana_rARtrIya_kqRi_qNa_niXi
long term operations national industrial credit fund	xIxarkAlIna_pravarwana_rARtrIya_Oxyogika_qNa_niXi
long term perspective	xIxarkAlIna_pariprekRya
long term	xIxarkAlika
long termest	lambI^avaXI_{wama}
long wave	lambI_waraMga
long way off	bahuwa_xUra
long winded	ubAne_vAlA_lambA_BARaNa
longitudinal balance	anuxErXya_saMwulana
longitudinal induction noise	agrAvaleAkana_anuxErXya_preraNa
look after	xeKaBAla_karanA
look ahead carry adder	agrAvalokana_haswaMgawa_yojaka
look ahead carry	agrAvalokana_haswagaMwa
look ahead set	agrAvalokana_samuccaya
look alike	kisI_ke_jEsA_laganA
look at	XyAna_xenA
look for	Koja_karanA
look into	XyAna_se_xeKanA
look out	xqRti
look through	sarasarI_nigAha_se_xeKanA
look up table	avalokana_sAraNI
look up	avalokana
lookahead carry adder	agrAvalokana_haswaMgawa_yojaka
looking glass	SISA
loony bin	pAgala_KZAnA
loop back test	pASa_vApasI_parIkRaNa
loop check	pASa_jAMca
loop completion	pASa_samApana
loop control	pASa_niyaMwraNa
loop counter	pASa_gaNaka
loop feedback signal	pASa_pASca_BaraNa_saMkewa
loop initialization	pASa_prAraMBaNa
loop invariant	pASa_niScara
loop modification	pASa_aparivarwana
loop network	pASa_netavarka
loop self checking	pASa_svajAMEYca
loop start	pASa_prAraMBana
loop termination	pASAvasAna
loose end	apUrNa_va_aspaRta_kahAnI
loose leaf system	lUjZa_lIPZa_praprAlI
loose motion	pawalA_xaswa
loose sheets	Kule_pa_a@Zne
loose tobacco	KulA_wambAkU
loose tools	Putakara_OjAra
loosely coupled multiprocessing	SiWilaH_yugmiwa_bahuprakramaka
loosely coupled	SiWilawaH_yugmiwa
loro account	waxIya_leKA
lorry cleaner	lAEYrI_klInara
lorry driver	lAEYrI_cAlaka
lorry sircar	lAEYrI_sarakAra
loss in transit	mArga_meM_hAni
loss incurred	Bakuwa_hAni
loss making	GAte_meM_cala_rahI
loss of earnings	Aya_kI_hAni
loss of office	paxa_hAni
loss of property	jAyaxAxa_aampwwi_kI_hAni
loss of resale	punarvikraya_meM_hAni
loss of significance	sArWakawA_hAni
loss on resale	punarvikraya_meM_hAni
loss prior to incorporation	nigamana_pUrva_hAni
lost and found	KoyA_pAyA
lost bank note	KoyA_bEMka_nota
lost bil	KoyA_bila
lost bill of exchange	KoyA_huA_vinimaya_pawra
lost cause	asaPala_prayoja
lost in transit	pareRapra_meM_KoyA
lost notes procedure	Koye_hue_eupwa_nota_sambanXI_prakriyA
lost time	vilupla_ainaRta_samaya
lot money	nIlAma_kamISana
lots and lots	KUba_sArA
lots of things	bahuwa_bAweM
lottery money	lAtarI_ke_pEse
lottery sales	lAtarI_kI_bikrI
lotus eater	kamala_BakRaka
lotus feet	kamala_caraNa
lounge chair	viSrAma_kakRa_kI_kursI
love affair	premasambaMXa
love affaire	pyAra_kA_cakkara
love child	jAraja_saMwAna
love letter	premapawra
love life	mEWuna_saMbanXa
love match	premIyugala
low brass	nimnaswarIya_pIwala
low byte	nimna_bAita
low capacity utilisation	kRamawA_kA_kama_upayoga
low cost operation	alpalAgawa_pracAlana_aama_lAgawa_pracAlana
low cost	alpa_lAgawa
low grade traffic	alpArjaka_mAla_yAwAyAwa
low grade	nimna_SreNI
low income group	nimna_Aya-varga
low key	kama_mahawvapUrNa
low level scheduler	nimna_swarIya_anusUcaka
low order	nimna_krama
low paid employees	alpa_vEwanika_karmacArI
low pass filter	nimna_parAkA_nisyaxaMka
low speed storage	nimna_cAla_BaMdAraNa
lower age limit	nimna_Ayu-sImA
lower berth	nIce_kI_SAyikA
lower bound	nIce_kA_sImiwa_hissA
lower bounds	rEKika_anveRaNa
lower cannon	nIce_kI_wopa
lower case	loara_kesa
lower class	nimna_vargIya
lower court	nicalA_nyAyAlaya
lower division clerk	avara_SreprI_lipika
lower down payment	kama_rASi_meM_BugawAna_karanA
lower limit	nimna_sImA
lower post	nicalA_paxa
lower primary school	nimna_prAWamika_vixyAlaya
lower rated job	alpa_pAriSramika_kArya
lower selection grade clerk	nimna_pravaraNa_koti_lipika
lower selection grade	nimnawara_pravara_koti
lower unit cost	nimnawara_ikAWa_lAgawa
lowest price	nimnawama_mUlya
lowest rate	nyUnawama_xara
lowest rung	nimnawama_sopAna
lowest tender	nyUnawama_nivixA
lowest tenderer	nyUnawama_nivixAkAra
lubricating supervisor	snehana_paryavekRaka
lucky dip	kismawa_kA_Kela
ludlow operator	ludalo_pracAlaka
luggage carrier	sAmAna_vAhaka
luggage inspector	sAmAna_nirIkRaka
luggage room attendant	sAmAna_xara_paricara
luggage room	sAmAna_xara
luggage weigher	sAmAna_wolaka
lumbar artery	kamara_kI_XamanI
luminous energy	prakASamaya_UrjA
lump sum appropriation	ekamuSwa_viniyojana
lump sum contract	eka_muSwa_saMvixA
lump sum grant	eka_muSwa_anuxAna
lump sum	ekamuSwa-rASi
lumpsum grant	ikamuSwa_anuxAna
lunar caustic	rajawa_xaha
lunar eclipse	canxra_grahaNa
lunch money	maXyAhna_Bojana_ke_pEse
lunch party	maXyAjana_Boja_pArtI
luxury goods	vilAsa_vaswueM
luxury tax	vilAsa_kara
lying under oath	SapaWa_lekara_JUTe_bayAna_xenA
lymph cell	lasIkA_koSA
lynch law	apahanana_kAnUna
mac protocol	mEka_protokOYla
mac segment	mEka_KaMda
machine accounting technical assistant	yaMwra_leKA_wakanIkI_sahAyaka
machine address	yaMwra_pawA
machine available time	yaMwra_prApwa_kAla
machine bolt	maSIna_kA_peMca
machine check handler	yaMwra_jAMEYca_wruti_nivAraka
machine check indicator	yaMwra_jAMEYca_wruti_sUcaka
machine check interruption	yaMwra_jAMEYca_wruti_bAXA
machine check	yaMwra_jAMEYca_wruti
machine code	yaMwra_kUta
machine cognition	yaMwra_boXana
machine congruence	maSIna_sarvAgaMsamawA
machine cycle	yaMwra_cakra
machine dependent language	yaMwrASriwa_BARA
machine dependent software	yaMwrASriwa_prakriyA_sAmagrI
machine dependent	yaMwrASriwa
machine equation	yaMwra_samIkaraNa
machine equivalence	yaMwra_wulyawA
machine error	yaMwra_jAMEYca
machine feeder	maSIna_PIdara
machine foreman	maSIna_PoramEna
machine gun attack	yAMwrika_baMxUka_AkramaNa
machine gun fire	yAMwrika_baMxUka_agni
machine hours	maSIna_GaMte
machine idle time	yaMwra_anuprayogI
machine independent language	yaMwra_nirapekRa_BARA
machine independent software	yaMwra_nirapekRa_prakriyA
machine independent solution	yaMwra_nirapekRa_prakriyA_sAmagrI
machine independent	yaMwra_nirapekRa
machine instruction code	yaMwra_anuxeSa_kUta
machine instruction statement	yaMwra_anuxeSa_kaWana
machine instruction	yaMwra_anuxeSa
machine intelligence	yaMwra_buxXi
machine intimate	yaMwra_GaniRTa
machine language code	yaMwra_BARA_kUta
machine language	maSIna_BARA
machine learning	yaMwra_aXigama
machine man	maSInamEna
machine operation table	maSIna_cAlana_sAraNI
machine operation	yaMwra_pracAlana
machine operator	maSIna_saMcAlaka
machine oriented language	yaMwra_mUlaka_BARA
machine rate or machine hour method	maSIna_xara_yA_maSIna_xaMtA_paxXawi
machine readable medium	yaMwra_paTanIya_mAXyama
machine readable	yaMwra_paTanIya
machine run	yaMwra_xOra
machine sensible information	yaMwra_saMvexa_sUcanA
machine setter	maSIna_setara
machine shop	yaMwrAlaya
machine simulation	yaMwra_anukAra
machine spoiled time	yaMwra_apahawakAla
machine supervisor	maSIna_paryavekRaka
machine tool builder	maSInI_upakaraNa_banAne_vAlA
machine tool business	maSIna_upakaraNa_vyApAra
machine tool company	maSInI_ukaraNa_kampanI
machine tool control	yaMwra_OjZAra_niyaMwraNa
machine tool executive	maSIna_ukaraNa_kAryakArI
machine tool industry	maSInI_upakaraNa_uxyoga
machine tool maker	maSInI_upakaraNa_banAne_vAlA
machine tool operations	maSInI_upakaraNoM_kA_saMcAlana
machine tool order	maSIna_upakaraNa_AxeSa
machine tool plant	maSInI_upakaraNa_kAraKAna
machine tool producer	maSInI_upakaraNa_kA_uwpAxaka
machine tool shipment	maSInI_upakaraNa_nOBaraNa
machine translation	yaMwra_anuvAxa
machine usage time	yaMwra_upayoga_kAla
machinery  ORG	waMwra_oArajI
machinery  PCT	waMwra_pIsItI
machinery ORG	waMwra_oArajI
machinery PCT	waMwra_pIsItI
machinery company	waMwra_kampanI
machinery group	waMwra_varga
machinery issue	waMwra_pariNAma
machinery maintenance inspector	maSIna_anurakRaNa_nirIkRaka
machinery maker	waMwra_banAne_vAlA
machinery of government	SAsana_vyavasWA
machinery order	waMwra_AxeSa
machinery sector	waMwra_kAryakRewra
machinery stocks	waMwra_mAla
macro code	sWUla_kUta
macro command	sWUla_samAxeSa
macro declaration	sWUla_GoRaNA
macro definition library	sWUla_pariBARA_kramAxeSa_saMgraha
macro definition	sWUla_pariBARA
macro economic policy	sWUla_ArWika_nIwi
macro economics	samiRta_arWaSA_Awra
macro generating program	sWUla_janaka_kramAxeSa
macro generator	sWUla_janiwra
macro instruction	sWUla_anuxeSa
macro library	sWUla_kramAxeSa_saMgraha
macro processing instruction	sWUla_saMsAXana_anuxeSa
macro processing	sWUla_saMsAXana
macro processor	mAikroprosesara
macro system	sWUla_waMwra
macroassembly program	sWUla_kodAMwaraNa_kramAxeSa
macrobiotic diet	xIrGAyuxa_AhAra
macroprototype statement	sWUla_AxiprarUpa_kaWana
mad house	pAgalaKAnA
mad things	pAgaloM_ke_kAma
made to order	AxeSAnusAra_nirmiwa
magazine article	leKa{pawrikA_meM}
magic bullet	jAxuI_golI
magic character	mAyA_saMprawIka
magic number	mAyA_saMKyA
magic trick	jAxU_ke_xAzva
magical ability	jAxuI_kRamawA
magnetic attraction	cumbakIya_AkarRaNa
magnetic bottle	cumbakIya_bowala
magnetic bubble memory	cuMbakIya_buxabuxa_smqwi
magnetic card reader	cuMbakIya_kArda_pATaka
magnetic card storage	cuMbakIya_kArda_BaMdAraNa
magnetic card	cuMbakIya_kArda
magnetic cell	cuMbakIya_koRTikA
magnetic character	cuMbakIya_saMprawIka
magnetic core storage	cuMbakIya_kora_BaMdAraNa
magnetic delay time	cuMbakIya_vilaMba_kAla
magnetic dip	cumbakIya_AkarRaNa_mApI
magnetic dipole	cumbakIya_xviXruva
magnetic disc	mEganetika_diska
magnetic disk address	cuMbakIya_cakrikA_pawA
magnetic disk memory	cuMbakIya_cakrikA_smqwi
magnetic disk storage	cuMbakIya_cakrikA_BaMdAraNa
magnetic disk store	cuMbakIya_cakrikA_BaMdAra
magnetic disk unit	cuMbakIya_cakrikA_ekaka
magnetic disk	cuMbakIya_cakrikA
magnetic drum storage	cuMbakIya_drama_BaMdAraNa
magnetic encoding	cuMbakIya_kUtaleKana
magnetic field	cumbakIya_kRewra
magnetic hand scanner	cuMbakIya_haswa_skEnara
magnetic hysteresis loop	cuMbakIya_SEWilya_pASa
magnetic ink character sorter	cuMbakIya_syAhI_saMprIwaka_COYtaka
magnetic ink scanner	cuMbakIya_syAhI_skEnara
magnetic ink	cuMbakIya_syAhI
magnetic levitation	cumbakIya-uwWApana
magnetic memory	cuMbakIya_smqwi
magnetic reading	cuMbakIya_paTana
magnetic recording	cuMbakIya_aBileKana
magnetic slot reader	cuMbakIya_KAMcA_pATaka
magnetic storage	cuMbakIya_BaMdAraNa
magnetic strip accounting machine	cuMbakIya_pattI_leKA_maSIna
magnetic strip reader	cuMbakIya_pattI_pATaka
magnetic strip	cuMbakIya_pattI
magnetic tape cartridge	cuMbakIya_tepa_kArtrejZa
magnetic tape cassette	cuMbakIya_tepa_kEseta
magnetic tape drive	cuMbakIya_tepa_drAiva
magnetic tape file	cuMbakIya_tepa_saMcikA
magnetic tape header	cuMbakIya_tepa_agraka
magnetic tape label	cuMbakIya_tepa_lebala
magnetic tape librarian	cuMbakIya_tepa_lAibreriyana
magnetic tape station	cuMbakIya_tepa_kenxra
magnetic tape storage	cuMbakIya_tepa_BaMdAraNa
magnetic tape subsystem	cuMbakIya_tepa_upawaMwra
magnetic tape terminal	cuMbakIya_tepa_tarminala
magnetic tape trailer	cuMbakIya_tepa_anuga
magnetic tape transport	cuMbakIya_tepa_parivahana
magnetic tape unit	cuMbakIya_tepa_ekaka
magnetic thin film storage	cuMbakIya_wanu_Pilma_BaMdAraNa
magnetic thin film	cuMbakIya_wanu_parawa
magnetic track	cuMbakIya_paWa
magnetic wire storage	cuMbakIya_wAra_BaMdAraNa
magneto graphic printer	cuMbaka_muxraka_AleKI
magneto optic disk storage	cuMbaka_prakASIya_cakrikA_BaMdAraNa
maid service	nOkarAnI_kA_kAma
maiden aunt	avivAhiwa_mOsI
maiden name	pUrva_nAma
maidenhair berry	medanaheyara_berI
mail advice	dAka_anwaraNa_sUcanA
mail agent	dAka_ejeMta
mail bag	dAka_WElA
mail boat	dAka_sambanXI_nAva
mail box	dAka_petI
mail call	dAka_kAla
mail car	dAka_gAdZI
mail carrier	dAka_vAhaka
mail clerk	dAka_klarka
mail contractor	dAka_TekexAra
mail escort	dAka_anurakRaka
mail fraud	dAka_xvArA_prawAraNa
mail guard	dAka_rakRaka
mail office	dAka_kAryAlaya
mail opener	dAka_KolanevAlA
mail order sales	dAka_xvArA_bikrI
mail overseer	dAka_ovarasiyara
mail peon	dAka_caparAsI
mail survey	dAka_sarvekRaNa
mail transfer	dAka_aMwaraNa
mailing address	dAka_kA_pawA
mailing list	dAka-sUcI
main account	muKya_aramuKa_KAwA
main battery powered machine	bijalI_bEtarI_cAliwa_yaMwra
main body	muKya_BAga
main branch	muKya_aramuKa_SAKA
main control unit	muKya_niyaMwraNa_ekaka
main distributing frame	muKya_lAIna_viwaraNa_Prema
main head	muKya_aramuKa_SIRar
main lobe	muKya_pAli
main memory mapping	muKya_smqwi_prawiciwraNa
main memory	muKya_smqwi
main office	muKya_kAryAlaya
main operation	muKya_pracAlana
main path	muKya_paWa
main powered machine	muKya_SakwicAliwa_yaMwra
main price list	muKya_mUlya_sUcI
main program	muKya_kramAxeSa
main ring path	muKya_valaya_paWa
main station	muKya_kenxra
main storage unit	muKya_BaMdAraNa_ekaka
main storage	muKya_BaMdAraNa
main switch	mena_svica
mainframe computer	bqhaw_aBikaliwra
mainframe sales	muKya_DAzcA_kI_bikrI
mains inspector	muKya_wAra_nirIkRaka
